Adult and Paediatric Cardiac  Arrest;"Rural_1_Adult_and_Paediatric_Cardiac__Arrest.pdf"
Maternal Cardiac Arrest Algorithm;"Rural_2_Maternal_Cardiac_Arrest_Algorithm.pdf"
Neonatal Resuscitation Algorithm;"Rural_3_Neonatal_Resuscitation_Algorithm.pdf"
Post Cardiac Arrest Care  Algorithm;"Rural_4_Post_Cardiac_Arrest_Care__Algorithm.pdf"
Syncope Algorithm;"Rural_5_Syncope_Algorithm.pdf"
Seizures Algorithm;"Rural_6_Seizures_Algorithm.pdf"
Management of the severely agitated or violent patient;"Rural_7_Management_of_the_severely_agitated_or_violent_patient.pdf"
Anaphylaxis Algorithm;"Rural_8_Anaphylaxis_Algorithm.pdf"
Acute Asthma Exacerbation Algorithm;"Rural_9_Acute_Asthma_Exacerbation_Algorithm.pdf"
Peak Expiratory Flow Chart;"Rural_Peak_Expiratory_Flow_Chart.pdf"
Rapid Sequence Intubation Algorithm;"Rural_10_Rapid_Sequence_Intubation_Algorithm.pdf"
Failed Intubation  Algorithm;"Rural_11_Failed_Intubation__Algorithm.pdf"
Chest Pain (Acute Coronary Syndrome)  Algorithm;"Rural_12_Chest_Pain_(Acute_Coronary_Syndrome)__Algorithm.pdf"
Pulmonary Embolism Algorithm;"Rural_13_Pulmonary_Embolism_Algorithm.pdf"
Sepsis and Septic Shock Diagnostic Criteria;"Rural_14_Sepsis_and_Septic_Shock_Diagnostic_Criteria.pdf"
Sepsis and Septic Shock Algorithm;"Rural_Sepsis_and_Septic_Shock_Algorithm.pdf"
Antimicrobial Guide;"Rural_15_Antimicrobial_Guide.pdf"
Hyperglycaemia Algorithm;"Rural_16_Hyperglycaemia_Algorithm.pdf"
Diabetic Ketoacidosis (DKA)   Hyperosmolar Hyperglycaemic State (HHS)  Algorithm;"Rural_17__Diabetic_Ketoacidosis_(DKA)___Hyperosmolar_Hyperglycaemic_State_(HHS)__Algorithm.pdf"
Hypoglycaemia Algorithm;"Rural_18_Hypoglycaemia_Algorithm.pdf"
Electrolyte Abnormalities Algorithm;"Rural_19_Electrolyte_Abnormalities_Algorithm.pdf"
Hypertension Algorithm;"Rural_20_Hypertension__Algorithm_Algorithm.pdf"
Joint National Committee (JNC VIII)Prevention Detection Evaluation and Treatment of High Blood Pressure Guidelines;"Rural_Joint_National_Committee_(JNC VIII)Prevention_Detection_Evaluation_and_Treatment_of_High_Blood_Pressure_Guidelines.pdf"
Joint National Committee (JNC VIII) Algorithm for initiating Antihypertensive drugs;"Rural_Joint_National_Committee_(JNC VIII)_Algorithm_for_initiating_Antihypertensive_drugs.pdf"
Evidence Based Dosing for Antihypertensive Drugs;"Rural_Evidence_Based_Dosing_for_Antihypertensive_Drugs.pdf"
Hypertensive Emergencies Algorithm;"Rural_21_Hypertensive_Emergencies_Algorithm.pdf"
Hypertensive Emergencies Drug Infusions;"Rural_Hypertensive_Emergencies_Drug_Infusions.pdf"
Pain Management Algorithm;"Rural_22_Pain_Management_Algorithm.pdf"
Procedural Sedation and Analgesia (PSA);"Rural_23_Procedural_Sedation_and_Analgesia_(PSA).pdf"
Procedural Sedation and Analgesia (PSA) Physician Checklist;"Rural_Procedural_Sedation_and_Analgesia_(PSA)_Physician_Checklist.pdf"
Trauma Management Pathway;"Rural_24_Trauma_Management_Pathway.pdf"
C-Spine Clearance Algorithm;"Rural_25_C-Spine_Clearance_Algorithm.pdf"
Mild Traumatic Brain Injury;"Rural_26_Mild_Traumatic_Brain_Injury.pdf"
Minor Head Injury Discharge Advice;"Rural_Minor_Head_Injury_Discharge_Advice.pdf"
Burns Resuscitation Pathway (Assessment);"Rural_27_Burns_Resuscitation_Pathway_(Assessment).pdf"
Burns Resuscitation Pathway (Resuscitation);"Rural_Burns_Resuscitation_Pathway_(Resuscitation).pdf"
Bites (Animal Human Snakes);"Rural_28_Bites_(Animal_Human_Snakes).pdf"
Poisoning;"Rural_29_Poisoning.pdf"
Organophosphate Poisoning Algorithm;"Rural_30_Organophosphate_Poisoning_Algorithm.pdf"
Alcohol (Methanol) Poisoning Algorithm;"Rural_31_Alcohol_(Methanol)_Poisoning_Algorithm.pdf"
Epistaxis Algorithm;"Rural_32_Epistaxis_Algorithm.pdf"
Low Back Pain Algorithm;"Rural_33_Low_Back_Pain_Algorithm.pdf"
Epigastric Pain Algorithm;"Rural_34_Epigastric_Pain_Algorithm.pdf"
Upper Gastrointestinal Bleeding Algorithm;"Rural_35_Upper_Gastrointestinal_Bleeding_Algorithm.pdf"
Management of Pain in Sickle Cell Disease Algorithm;"Rural_36_Management_of_Pain__in_Sickle_Cell_Disease_Algorithm.pdf"
Analgesia Chart;"Rural_Analgesia_Chart.pdf"
